Device name,Frame ID,Slot ID,Port ID,User Label,ONTs
HAC-ANT.APART-B1-MA5800,0,7,1,TRK ATE3 (APARTADO VELEZ 1),19
HAC-ANT.APART-B1-MA5800,0,7,2,TRK ATE2 (OBRERO 1-11),21
HAC-ANT.APART-B1-MA5800,0,7,3,TRK ATE0 (OBRERO 1-9),30
HAC-ANT.APART-B1-MA5800,0,7,4,TRK ATD5 (OBRERO 1-4),35
HAC-ANT.APART-B1-MA5800,0,7,5,TRK ATD4 (OBRERO 1-3),29
HAC-ANT.APART-B1-MA5800,0,7,6,TRK ATC9 (LA CHINITA 6),24
HAC-ANT.APART-B1-MA5800,0,7,7,TRK ATC8 (LA CHINITA 5),18
HAC-ANT.APART-B1-MA5800,0,7,8,TRK ATC7 (LA CHINITA 4),19
HAC-ANT.APART-B1-MA5800,0,7,9,TRK ATC6 (LA CHINITA 3),9
HAC-ANT.APART-B1-MA5800,0,7,10,TRK ATC5 (LA CHINITA 2),24
HAC-ANT.APART-B1-MA5800,0,7,11,TRK ATC4 (LA CHINITA 1),22
HAC-ANT.APART-B1-MA5800,0,7,12,TRK ATE1 (OBRERO 1-10),20
HAC-ANT.APART-B1-MA5800,0,7,13,TRK ATE9 (APARTADO VELEZ 4),18
HAC-ANT.APART-B1-MA5800,0,7,14,TRK ATF0 (APARTADO VELEZ 5),16
HAC-ANT.APART-B1-MA5800,0,7,15,TRK ATE7 (APARTADO VELEZ 2),34
HAC-ANT.APART-B1-MA5800,0,10,0,TRK ATF1 (APARTADO VELEZ 6),10
HAC-ANT.APART-B1-MA5800,0,10,1,TRK ATE8 (APARTADO VELEZ 3),20
HAC-ANT.APART-B1-MA5800,0,10,2,TRK ATF2 (APARTADO VELEZ 7),26
HAC-ANT.APART-B1-MA5800,0,10,3,TRK ATF3 (APARTADO VELEZ 8),24
HAC-ANT.APART-B1-MA5800,0,10,4,TRK AT59 (FUNDADOR 5),23
HAC-ANT.APART-B1-MA5800,0,10,5,TRK AT53 (FUNDADOR 1),7
HAC-ANT.APART-B1-MA5800,0,10,6,TRK AT52 (PUEBLO NUEVO 17),16
HAC-ANT.APART-B1-MA5800,0,10,7,TRK AT50 (PUEBLO NUEVO 15),30
HAC-ANT.APART-B1-MA5800,0,10,8,TRK AT49 (PUEBLO NUEVO 14),39
HAC-ANT.APART-B1-MA5800,0,10,9,TRK AT48 (PUEBLO NUEVO 13),32
HAC-ANT.APART-B1-MA5800,0,10,10,TRK AT37 (PUEBLO NUEVO 8),23
HAC-ANT.APART-B1-MA5800,0,10,11,TRK AT35 (PUEBLO NUEVO 6),26
HAC-ANT.APART-B1-MA5800,0,10,12,TRK AT33 (PUEBLO NUEVO 4),33
HAC-ANT.APART-B1-MA5800,0,10,13,TRK AT31 (PUEBLO NUEVO 2),31
HAC-ANT.APART-B1-MA5800,0,10,14,TRK AT30 (PUEBLO NUEVO 1),14
HAC-ANT.APART-B1-MA5800,0,10,15,TRK AT51 (PUEBLO NUEVO 16),15
HAC-ANT.APART-B1-MA5800,0,11,0,TRK AT54 (FUNDADOR 2),26
HAC-ANT.APART-B1-MA5800,0,11,1,TRK AT46 (PUEBLO NUEVO 11),21
HAC-ANT.APART-B1-MA5800,0,11,2,TRK AT47 (PUEBLO NUEVO 12),43
HAC-ANT.APART-B1-MA5800,0,11,3,TRK AT45 (PUEBLO NUEVO 10),36
HAC-ANT.APART-B1-MA5800,0,11,4,TRK AT41 (PUEBLO NUEVO 10),8
HAC-ANT.APART-B1-MA5800,0,11,5,TRK AT39 (PARROQUIAL 1),32
HAC-ANT.APART-B1-MA5800,0,11,6,TRK AT34 (PUEBLO NUEVO 5),28
HAC-ANT.APART-B1-MA5800,0,11,7,TRK AT32 (PUEBLO NUEVO 3),34
HAC-ANT.APART-B1-MA5800,0,11,8,TRK AT40 (PARROQUIAL 2),36
HAC-ANT.APART-B1-MA5800,0,11,9,TRK AT38 (PUEBLO NUEVO 9),33
HAC-ANT.APART-B1-MA5800,0,11,10,TRK AT36 (PUEBLO NUEVO 7),29
HAC-ANT.APART-B1-MA5800,0,11,11,TRK ATF4 (ATF4),0
