NE Name,Shelf,Slot,Port,Port Name,ONTs
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,6,TRK XI1062 (ITAGU-106-02-CO2),27
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,7,TRK XI1072 (ITAGU-107-02-CO2),22
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,8,TRK XI1082 (ITAGU-108-02-CO2),25
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,9,TRK XI0845 (ITAGU-84-05-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,10,TRK XI1145 (ITAGU-114-05-CO2),11
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,11,TRK XI1205 (ITAGU-120-05-CO2),1
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,12,TRK XI1255 (ITAGU-125-05-CO2),17
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,13,TRK XI1265 (ITAGU-126-05-CO2),5
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,14,TRK XI1275 (ITAGU-127-05-CO2),6
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,15,TRK XI1285 (ITAGU-128-05-CO2),4
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,16,TRK XI1295 (ITAGU-129-05-CO2),2
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,1,TRK XI1305 (ITAGU-130-05-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,2,TRK XI1315 (ITAGU-131-05-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,3,TRK XI1325 (ITAGU-132-05-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,4,TRK XI1335 (ITAGU-133-05-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,5,TRK XI1425 (ITAGU-142-05-CO2),15
ZAC-ANT.ATP_ITAGUI-N1-C600,1,7,6,TRK XI1142 (ITAGU-114-02-CO2),9
